description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Pepinillo Encurtido Receta Americana Valle Fértil Frasco 680 g,S/ 20.30,wong,PEPINILLO,2024-12-04 19:47:46.028800,680.0,g,Pepinillo Encurtido Receta Americana Valle Fértil Frasco,20.3,wong,,,PEPINILLO
Pepinillos en Rodajas Olivos del Sur 520g,S/ 20.90,wong,PEPINILLO,2024-12-04 19:47:46.028800,520.0,g,Pepinillos en Rodajas Olivos del Sur,20.9,wong,,,PEPINILLO
Pepinillos en Rodajas Olivos del Sur 520g,S/ 20.90,metro,PEPINILLO,2024-12-04 21:43:55.862391,520.0,g,Pepinillos en Rodajas Olivos del Sur,20.9,metro,,,PEPINILLO
Pepinillos Bebè Encurtidos Essential Everyday 473ml,S/ 21.50,wong,PEPINILLO,2024-12-04 19:47:46.028800,473.0,ml,Pepinillos Bebè Encurtidos Essential Everyday,21.5,wong,,,PEPINILLO
Pepinillos Crujientes Hengstenberg Frasco 670 g,S/ 28.50,wong,PEPINILLO,2024-12-04 19:47:46.028800,670.0,g,Pepinillos Crujientes Hengstenberg Frasco,28.5,wong,,,PEPINILLO
Rodajas de Pepinillo en Conserva HENGSTENBERG Para Hamburguesas Frasco 330g,S/ 33.80,vivanda,PEPINILLO,2024-12-04 17:55:42.552105,330.0,g,Rodajas de Pepinillo en Conserva HENGSTENBERG Para Hamburguesas Frasco,33.8,vivanda,,HENGSTENBERG,PEPINILLO
Rodajas de Pepinillo en Conserva HENGSTENBERG ...,S/ 33.90 un,plaza_vea,PEPINILLO,2024-12-04 14:06:06.234010,330.0,g,Rodajas de Pepinillo en Conserva HENGSTENBERG,33.9,plaza_vea,Frasco 330g,,PEPINILLO
Pepinillos Agridulces Hengstenberg 670ml,S/ 34.60,wong,PEPINILLO,2024-12-04 19:47:46.028800,670.0,ml,Pepinillos Agridulces Hengstenberg,34.6,wong,,,PEPINILLO
Pepinillos a la Polaca Hengstenberg Frasco 670 g,S/ 34.70,wong,PEPINILLO,2024-12-04 19:47:46.028800,670.0,g,Pepinillos a la Polaca Hengstenberg Frasco,34.7,wong,,,PEPINILLO
Pepinillos Hengstenberg Frasco 330 g,S/ 34.80,wong,PEPINILLO,2024-12-04 19:47:46.028800,330.0,g,Pepinillos Hengstenberg Frasco,34.8,wong,,,PEPINILLO
Pepinillos en Salmuera Hengstenberg 650g,S/ 34.90,wong,PEPINILLO,2024-12-04 19:47:46.028800,650.0,g,Pepinillos en Salmuera Hengstenberg,34.9,wong,,,PEPINILLO
Pepinillos Baby Hengstenberg Frasco 370 g,S/ 35.20,wong,PEPINILLO,2024-12-04 19:47:46.028800,370.0,g,Pepinillos Baby Hengstenberg Frasco,35.2,wong,,,PEPINILLO
Pepinillos en Salmuera 720 mL,S/ 36.30,tottus,PEPINILLO,2024-12-04 13:38:12.061667,720.0,ml,Pepinillos en Salmuera,36.3,tottus,,HENGSTENBERG,PEPINILLO
